,City1,City2,Distance (km)
1594481,280030,220150,944.0618390480428
1594497,280030,220155,618.5467462097108
1594505,280030,220157,581.8310609028326
3062127,150140,220160,812.4604833067488
1594535,280030,220170,838.392537751873
1594539,280030,220173,511.794407695823
3062166,150140,220177,778.4691334884723
1594575,280030,220180,642.2065697755887
1594596,280030,220190,824.1480300285714
3062225,150140,220191,785.2081190911061
1594629,280030,220192,666.0974063234279
3062251,150140,220194,783.1142681639827
3062283,150140,220196,801.8410305811094
1594692,280030,220198,699.0653909109096
3062334,150140,220200,760.1731881681964
1594726,280030,220202,764.4689257331048
3062353,150140,220205,764.3286095422089
1594816,280030,220207,742.2455193011908
3062429,150140,220208,811.0992422572424
1594830,280030,220209,558.3327987973515
1594872,280030,220210,639.6015970351386
1594879,280030,220211,593.2402469967807
1594893,280030,220213,605.1106459980897
3062504,150140,220217,700.2728149479689
3062508,150140,220220,795.7611393896118
1594930,280030,220225,813.328957881532
1594963,280030,220230,716.2981111475534
3062602,150140,220240,799.7780379768723
1594995,280030,220245,585.2698928669744
1595007,280030,220250,708.96483861382
3062631,150140,220253,771.8237485475388
1595034,280030,220255,556.1509033794762
1595095,280030,220260,793.5128122324024
3062735,150140,220265,764.4008622242632
3062816,150140,220270,802.3995757264921
3062817,150140,220271,802.9773937156458
3062819,150140,220272,819.2348517177437
3062828,150140,220273,806.03248858897
1595232,280030,220275,797.3235379961843
1595233,280030,220277,694.3604824017989
1595255,280030,220280,600.2008829717041
1595324,280030,220285,641.4211243102617
3920623,530010,220290,665.6398845219497
3920662,530010,220300,643.4157901744412
1595385,280030,220310,817.4170783881123
3920710,530010,220320,750.3029701745709
1595431,280030,220323,830.8796796890263
3063047,150140,220325,778.8257778999578
1595435,280030,220327,541.7161618615391
3063068,150140,220330,777.4524228190786
1595486,280030,220335,612.855715032607
1595515,280030,220340,667.5189006740998
3063135,150140,220342,860.0002032049999
1595517,280030,220345,577.0725068755448
1595568,280030,220350,764.5773523645604
1595570,280030,220360,788.7010815640011
3063227,150140,220370,745.790362264226
1595665,280030,220375,646.097681452093
1595722,280030,220380,729.6194592080612
1595727,280030,220385,644.1426078220479
1595730,280030,220390,799.83818084772
8521485,230440,220400,507.97322894332143
8521487,230440,220410,561.6051815528068
8521492,230440,220415,472.5238539785579
8521495,230440,220420,463.52261360783814
8521509,230440,220430,438.888725914497
8521539,230440,220435,492.03149009998674
3921112,530010,220440,718.5254966672811
8521618,230440,220450,651.7575268884843
1595952,280030,220455,744.7810429431098
8521710,230440,220460,511.7916852747324
8521810,230440,220465,376.0352905861736
8521853,230440,220470,479.6319924603727
8521879,230440,220480,494.5535573127013
8521921,230440,220490,565.4313424906723
8521960,230440,220500,525.8967096025766
8522067,230440,220510,657.5566474737999
8522123,230440,220515,553.5741955303082
8522147,230440,220520,496.76495126938397
8522184,230440,220525,524.6248721824066
8522199,230440,220527,381.5577203774492
8522217,230440,220530,665.0725626745933
1596509,280030,220535,645.1455174454915
8522243,230440,220540,405.118389328223
8522246,230440,220545,431.7400461599291
8522254,230440,220550,461.70916395529036
8522267,230440,220551,385.52998658301846
3921836,530010,220552,726.6078840255987
1596571,280030,220553,690.1441760061837
8522358,230440,220554,509.5418058044622
8522323,230440,220555,462.0710532424073
1596612,280030,220556,559.2682226094383
8522332,230440,220557,346.8617561549757
8522338,230440,220558,492.41035837727566
8522339,230440,220559,456.4942594163268
8522379,230440,220560,715.2040871215402
8522449,230440,220570,358.69298323337335
8522466,230440,220580,425.8797710824867
8522491,230440,220585,439.7425024605943
8522540,230440,220590,758.9434543842737
8522583,230440,220595,475.90241991349245
8522584,230440,220600,702.5127457614676
